R_over_Re,Mean_Intensity,Std_Intensity,Npix
0.5499999999999999,3.8434042171120177,0.008057198993075583,10640
0.65,3.0106995900181612,0.0060634097445862525,12562
0.75,2.4384374472288917,0.004744258527711054,14524
0.8499999999999998,2.0234277555811815,0.0038614256670883055,16433
0.9499999999999998,1.6999508445528972,0.0032159376247859633,18355
1.0499999999999998,1.4394173070741645,0.0026923611947718587,20321
1.15,1.2250149269015047,0.0022226040572729754,22245
1.2499999999999998,1.046568819844455,0.0018067455208229583,24181
1.3499999999999996,0.903463912893523,0.001511802986659813,26104
1.4499999999999997,0.7850927635217287,0.0012640045136903821,28021
1.5499999999999998,0.6871462507597702,0.0010703882297056853,29997
1.6499999999999995,0.6014895772868446,0.0009205028719136307,31905
1.7499999999999996,0.5274171229632525,0.002091464559626984,33848
1.8499999999999996,0.46500031905753214,0.0007289928486172615,35803
1.9499999999999997,0.40750168901881173,0.0006436009142009757,37669
2.0499999999999994,0.35869177112777556,0.0005962597410601056,39650
2.1499999999999995,0.3145159349991016,0.0005498277643271593,41610
2.2499999999999996,0.27398481727249496,0.0005032147462557442,43514
2.3499999999999996,0.23970880569049696,0.0004925929061164865,45436
2.4499999999999993,0.2104627234691107,0.00048631232178571773,45929
