R_over_Re,Mean_Intensity,Std_Intensity,Npix
0.5499999999999999,8.55048537051277,0.014793592804466429,13358
0.6500000000000001,6.751310720613607,0.010949069315056022,15780
0.75,5.500734691160416,0.00861917754210182,18251
0.8500000000000002,4.5625196799423415,0.006997893460527798,20672
0.9500000000000001,3.818850157334976,0.0057728955522303805,23048
1.0500000000000003,3.220495866732668,0.0046393622698027446,25544
1.1500000000000001,2.737786291614601,0.0037413799162690363,27935
1.2500000000000002,2.3502310502295978,0.0030723919232268078,30364
1.3500000000000003,2.039805494032178,0.002569323533555942,32799
1.4500000000000004,1.7732209681689624,0.002172396203514867,35263
1.5500000000000003,1.552059280249112,0.0019171588054545789,37672
1.6500000000000004,1.3556785310153927,0.0017015023455366355,40092
1.7500000000000004,1.1825768445041789,0.001498416292690397,42497
1.8500000000000003,1.0360037102666124,0.0013906852697459283,44976
1.9500000000000004,0.9029897634360115,0.0012623737023469096,47367
2.0500000000000007,0.7914040764632028,0.0016140042730244484,49815
2.1500000000000004,0.6920908753231502,0.0011450247452201088,49413
2.250000000000001,0.6046797793230522,0.0012045629564208947,48569
2.3500000000000005,0.5189408880246944,0.001115560320460217,49640
2.4500000000000006,0.43663166950006205,0.0009554282054103995,54421
